Date,NDVI
1/1/2019,0.241233333
1/2/2019,0.242536458
1/3/2019,0.243839583
1/4/2019,0.245142708
1/5/2019,0.246445833
1/6/2019,0.247748958
1/7/2019,0.249052083
1/8/2019,0.250355208
1/9/2019,0.251658333
1/10/2019,0.252961458
1/11/2019,0.254264583
1/12/2019,0.255567708
1/13/2019,0.256870833
1/14/2019,0.258173958
1/15/2019,0.259477083
1/16/2019,0.260780208
1/17/2019,0.262083333
1/18/2019,0.26283375
1/19/2019,0.263584167
1/20/2019,0.264334583
1/21/2019,0.265085
1/22/2019,0.265835417
1/23/2019,0.266585833
1/24/2019,0.26733625
1/25/2019,0.268086667
1/26/2019,0.268837083
1/27/2019,0.2695875
1/28/2019,0.270337917
1/29/2019,0.271088333
1/30/2019,0.27183875
1/31/2019,0.272589167
2/1/2019,0.273339583
2/2/2019,0.27409
2/3/2019,0.274705
2/4/2019,0.27532
2/5/2019,0.275935
2/6/2019,0.27655
2/7/2019,0.277165
2/8/2019,0.27778
2/9/2019,0.278395
2/10/2019,0.27901
2/11/2019,0.279625
2/12/2019,0.28024
2/13/2019,0.280855
2/14/2019,0.28147
2/15/2019,0.282085
2/16/2019,0.2827
2/17/2019,0.283315
2/18/2019,0.28393
2/19/2019,0.293131097
2/20/2019,0.302332194
2/21/2019,0.311533291
2/22/2019,0.320734388
2/23/2019,0.329935485
2/24/2019,0.339136582
2/25/2019,0.348337679
2/26/2019,0.357538776
2/27/2019,0.366739873
2/28/2019,0.37594097
3/1/2019,0.385142067
3/2/2019,0.394343164
3/3/2019,0.403544261
3/4/2019,0.412745358
3/5/2019,0.421946455
3/6/2019,0.431147552
3/7/2019,0.430027841
3/8/2019,0.428908129
3/9/2019,0.427788418
3/10/2019,0.426668706
3/11/2019,0.425548995
3/12/2019,0.424429283
3/13/2019,0.423309572
3/14/2019,0.42218986
3/15/2019,0.421070149
3/16/2019,0.419950437
3/17/2019,0.418830726
3/18/2019,0.417711014
3/19/2019,0.416591302
3/20/2019,0.415471591
3/21/2019,0.414351879
3/22/2019,0.413232168
3/23/2019,0.40904408
3/24/2019,0.404855993
3/25/2019,0.400667905
3/26/2019,0.396479818
3/27/2019,0.39229173
3/28/2019,0.388103643
3/29/2019,0.383915555
3/30/2019,0.379727468
3/31/2019,0.37553938
4/1/2019,0.371351293
4/2/2019,0.367163205
4/3/2019,0.362975118
4/4/2019,0.35878703
4/5/2019,0.354598943
4/6/2019,0.350410855
4/7/2019,0.346222768
4/8/2019,0.343056456
4/9/2019,0.339890144
4/10/2019,0.336723832
4/11/2019,0.33355752
4/12/2019,0.330391208
4/13/2019,0.327224896
4/14/2019,0.324058584
4/15/2019,0.320892272
4/16/2019,0.31772596
4/17/2019,0.314559648
4/18/2019,0.311393336
4/19/2019,0.308227024
4/20/2019,0.305060712
4/21/2019,0.3018944
4/22/2019,0.298728088
4/23/2019,0.295561776
4/24/2019,0.297444928
4/25/2019,0.29932808
4/26/2019,0.301211231
4/27/2019,0.303094383
